Fazione,Province,Popolazione,Oro_iniziale,Cibo_iniziale,Oro_province,Denaro_province,Produzione_base_oro,Produzione_base_cibo,Manutenzione_oro,Consumo_cibo,Netto_oro_attuale,Netto_oro_se_denaro_converted,Cibo_province,Legname_province,Pietra_province,Ferro_province,Armi_province,Prestigio_province,Min_Lat,Max_Lat,Min_Lon,Max_Lon
Impero Bizantino,230,177527,18000,25000,18,5592253,700,600,286,158,432,5592685,1605,902,0,49,0,18694,0,45.9589,0,41.9034
Sacro Romano Impero,98,211145,14000,22000,7,6838154,550,500,188,122,369,6838523,1604,388,0,74,0,14916,0,54.1315,0,15.9958
Vichinghi,214,192013,9000,12000,0,5837742,350,250,209,118,141,5837883,1318,881,0,59,0,11462,0,69.5648,0,30.2901
Regno di Francia,112,77490,11000,18000,0,1622030,450,400,125,91,325,1622355,417,310,0,26,0,5993,0,50.9954,-4.75267,5.72845
Califfato di Cordova,71,58404,12000,16000,13,1960161,500,350,185,125,328,1960489,386,245,0,19,0,3754,0,43.3261,-9.13397,2.99331
Impero Fatimide,119,74081,15000,25000,0,2046472,600,450,246,144,354,2046826,466,339,0,0,0,6391,0,31.9068,0,44.7937
Regno d'Ungheria,84,59964,7000,12000,29,1881855,300,280,104,87,225,1882080,539,332,0,8,0,5683,0,48.8824,0,26.7668
Principato di Kiev,64,89199,8000,15000,0,3180110,350,320,156,106,194,3180304,653,257,0,26,0,5124,0,57.7329,0,41.6244
Regno di Polonia,23,18001,6500,14000,0,623975,280,300,101,80,179,624154,145,99,0,9,0,1186,49.1054,54.6829,16.2784,23.1751
Califfato Abbaside,48,39654,13000,20000,0,1261073,550,400,209,132,341,1261414,266,162,0,2,0,2475,28.8273,37.9159,41.5307,54.4381
Sultanato Ghaznavide,44,28109,10000,16000,0,867406,450,350,161,119,289,867695,241,113,0,12,0,2318,30.1234,37.9835,55.0042,71.1061
Dinastia Song,75,743681,20000,35000,0,23612133,800,700,279,154,521,23612654,463,294,0,21,0,3908,0,41.5938,0,121.704
Impero Khitan Liao,20,160513,11000,18000,2,5145609,400,350,214,158,188,5145797,150,80,0,7,0,1008,0,52.9236,0,134.594
Impero Chola,14,4188,12000,22000,0,64811,500,450,190,108,310,65121,25,38,0,0,0,556,0,17.4273126817,0,81.0848
Regno Khmer,179,129043,8000,16000,0,3428806,300,320,89,71,211,3429017,754,958,0,5,0,9981,0,21.7826,0,109.825
Regno Heian,55,94808,9000,14000,22,3190208,350,300,118,84,254,3190462,411,203,0,7,0,2750,0,43.37,0,142.805
Regno di Srivijaya,62,81323,9000,16000,0,2725113,400,350,124,66,276,2725389,286,277,0,3,0,3002,-8.57106,7.97108,0,119.99
Impero del Ghana,202,71857,11000,12000,61,2325572,500,280,110,92,451,2326023,707,785,0,8,0,11625,0,20.8429,-17.3327,4.54911
Toltechi,45,23082,6000,10000,71,715410,250,220,74,68,247,715657,207,168,0,14,0,2282,0,27.4473,-108.001,0
Regni Maya,70,29353,5000,9000,38,1011548,220,200,59,55,199,1011747,293,224,0,4,0,3630,0,21.6754,-89.9727,0
Terra di Nessuno,2498,2516486,0,0,260,72985598,0,0,0,0,260,72985858,9095,8154,0,287,0,126868,-83.0384,78.8124,-178.72,179.903
